CMDLINE /home/niccolum/projects/github/intrst_algrms/unpacking_flatten_lists/env/bin/python funcs.py
MEM 1.519531 1566196395.6761
MEM 21.281250 1566196395.7765
MEM 32.156250 1566196395.8768
MEM 39.253906 1566196395.9771
MEM 39.253906 1566196396.0779
MEM 39.253906 1566196396.1785
MEM 39.253906 1566196396.2792
MEM 39.253906 1566196396.3799
MEM 39.253906 1566196396.4807
MEM 39.253906 1566196396.5816
MEM 39.253906 1566196396.6825
MEM 39.253906 1566196396.7833
MEM 39.253906 1566196396.8842
MEM 39.253906 1566196396.9846
MEM 39.253906 1566196397.0855
MEM 39.253906 1566196397.1863
MEM 39.253906 1566196397.2871
MEM 39.253906 1566196397.3881
MEM 39.253906 1566196397.4890
MEM 39.253906 1566196397.5899
MEM 39.253906 1566196397.6907
MEM 39.253906 1566196397.7918
MEM 39.511719 1566196397.8922
MEM 39.511719 1566196397.9927
MEM 39.511719 1566196398.0934
MEM 39.511719 1566196398.1943
MEM 39.511719 1566196398.2952
MEM 39.511719 1566196398.3962
MEM 39.511719 1566196398.4972
MEM 40.800781 1566196398.5982
MEM 40.800781 1566196398.6992
MEM 40.800781 1566196398.8002
MEM 40.800781 1566196398.9006
MEM 40.800781 1566196399.0009
MEM 40.800781 1566196399.1013
MEM 41.058594 1566196399.2016
MEM 41.058594 1566196399.3019
MEM 41.058594 1566196399.4027
MEM 41.058594 1566196399.5035
MEM 41.058594 1566196399.6044
MEM 41.058594 1566196399.7047
MEM 41.058594 1566196399.8057
MEM 41.058594 1566196399.9066
MEM 41.058594 1566196400.0070
MEM 41.058594 1566196400.1078
MEM 41.058594 1566196400.2086
MEM 41.058594 1566196400.3095
MEM 41.058594 1566196400.4104
MEM 41.058594 1566196400.5117
MEM 41.058594 1566196400.6124
MEM 42.640625 1566196400.7127
FUNC __main__.outer_flatten_1 39.0625 1566196395.9616 39.2539 1566196395.9630
FUNC __main__.outer_flatten_1 40.8008 1566196398.5106 40.8008 1566196398.5184
FUNC __main__.outer_flatten_2 39.2539 1566196396.2641 39.2539 1566196396.2958
FUNC __main__.outer_flatten_2 40.8008 1566196398.8197 41.0586 1566196399.2997
FUNC __main__.niccolum_flatten 39.2539 1566196396.5970 39.2539 1566196396.6198
FUNC __main__.niccolum_flatten 41.0586 1566196399.6010 41.0586 1566196399.6686
FUNC __main__.tishka_flatten 39.2539 1566196396.9213 39.2539 1566196396.9501
FUNC __main__.tishka_flatten 41.0586 1566196399.9691 41.0586 1566196399.9766
FUNC __main__.zart_flatten 39.2539 1566196397.2515 39.2539 1566196397.2623
FUNC __main__.zart_flatten 41.0586 1566196400.2778 41.0586 1566196400.2913
FUNC __main__.recursive_flatten_like_tishka 39.2539 1566196397.5635 39.2539 1566196397.5754
FUNC __main__.recursive_flatten_like_tishka 39.2539 1566196397.5644 39.2539 1566196397.5749
FUNC __main__.recursive_flatten_like_tishka 39.2539 1566196397.5654 39.2539 1566196397.5746
FUNC __main__.recursive_flatten_like_tishka 39.2539 1566196397.5662 39.2539 1566196397.5743
FUNC __main__.recursive_flatten_like_tishka 39.2539 1566196397.5671 39.2539 1566196397.5740
FUNC __main__.recursive_flatten_like_tishka 39.2539 1566196397.5682 39.2539 1566196397.5737
FUNC __main__.recursive_flatten_like_tishka 39.2539 1566196397.5693 39.2539 1566196397.5735
FUNC __main__.recursive_flatten_like_tishka 39.2539 1566196397.5701 39.2539 1566196397.5732
FUNC __main__.recursive_flatten_like_tishka 39.2539 1566196397.5710 39.2539 1566196397.5730
FUNC __main__.recursive_flatten_like_tishka 39.2539 1566196397.5719 39.2539 1566196397.5727
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.5926 42.6406 1566196400.7545
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.5931 42.6406 1566196400.7544
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.5934 42.6406 1566196400.7544
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.5938 42.6406 1566196400.7543
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.5941 42.6406 1566196400.7543
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.5944 42.6406 1566196400.7542
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.5948 42.6406 1566196400.7541
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.5951 42.6406 1566196400.7541
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.5954 42.6406 1566196400.7540
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.5957 42.6406 1566196400.7539
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.5961 42.6406 1566196400.7539
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.5964 42.6406 1566196400.7538
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.5967 42.6406 1566196400.7537
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.5971 42.6406 1566196400.7537
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.5974 42.6406 1566196400.7536
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.5977 42.6406 1566196400.7536
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.5980 42.6406 1566196400.7535
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.5984 42.6406 1566196400.7534
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.5987 42.6406 1566196400.7534
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.5990 42.6406 1566196400.7533
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.5993 42.6406 1566196400.7532
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.5997 42.6406 1566196400.7532
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6000 42.6406 1566196400.7531
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6003 42.6406 1566196400.7530
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6007 42.6406 1566196400.7530
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6013 42.6406 1566196400.7529
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6017 42.6406 1566196400.7528
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6020 42.6406 1566196400.7528
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6024 42.6406 1566196400.7527
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6027 42.6406 1566196400.7527
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6030 42.6406 1566196400.7526
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6033 42.6406 1566196400.7525
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6037 42.6406 1566196400.7524
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6040 42.6406 1566196400.7524
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6043 42.6406 1566196400.7523
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6047 42.6406 1566196400.7523
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6050 42.6406 1566196400.7522
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6053 42.6406 1566196400.7521
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6055 42.6406 1566196400.7521
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6058 42.6406 1566196400.7520
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6061 42.6406 1566196400.7519
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6064 42.6406 1566196400.7519
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6066 42.6406 1566196400.7518
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6069 42.6406 1566196400.7517
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6072 42.6406 1566196400.7517
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6074 42.6406 1566196400.7516
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6077 42.6406 1566196400.7515
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6080 42.6406 1566196400.7515
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6084 42.6406 1566196400.7514
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6088 42.6406 1566196400.7513
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6091 42.6406 1566196400.7513
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6093 42.6406 1566196400.7512
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6096 42.6406 1566196400.7511
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6099 42.6406 1566196400.7511
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6101 42.6406 1566196400.7510
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6104 42.6406 1566196400.7509
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6107 42.6406 1566196400.7509
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6110 42.6406 1566196400.7508
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6112 42.6406 1566196400.7507
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6115 42.6406 1566196400.7506
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6118 42.6406 1566196400.7505
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6120 42.6406 1566196400.7505
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6123 42.6406 1566196400.7504
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6126 42.6406 1566196400.7503
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6129 42.6406 1566196400.7502
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6132 42.6406 1566196400.7502
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6135 42.6406 1566196400.7501
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6137 42.6406 1566196400.7501
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6140 42.6406 1566196400.7500
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6143 42.6406 1566196400.7499
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6146 42.6406 1566196400.7499
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6148 42.6406 1566196400.7498
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6151 42.6406 1566196400.7497
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6154 42.6406 1566196400.7497
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6156 42.6406 1566196400.7496
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6159 42.6406 1566196400.7495
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6162 42.6406 1566196400.7495
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6164 42.6406 1566196400.7494
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6167 42.6406 1566196400.7493
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6170 42.6406 1566196400.7493
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6173 42.6406 1566196400.7492
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6177 42.6406 1566196400.7491
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6181 42.6406 1566196400.7491
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6185 42.6406 1566196400.7490
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6188 42.6406 1566196400.7489
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6190 42.6406 1566196400.7489
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6193 42.6406 1566196400.7488
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6196 42.6406 1566196400.7487
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6199 42.6406 1566196400.7487
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6201 42.6406 1566196400.7486
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6204 42.6406 1566196400.7485
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6208 42.6406 1566196400.7484
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6210 42.6406 1566196400.7484
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6214 42.6406 1566196400.7483
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6218 42.6406 1566196400.7482
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6221 42.6406 1566196400.7482
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6223 42.6406 1566196400.7481
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6226 42.6406 1566196400.7480
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6229 42.6406 1566196400.7480
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6232 42.6406 1566196400.7479
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6234 42.6406 1566196400.7478
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6237 42.6406 1566196400.7478
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6240 42.6406 1566196400.7477
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6242 42.6406 1566196400.7476
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6243 42.6406 1566196400.7476
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6245 42.6406 1566196400.7475
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6247 42.6406 1566196400.7474
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6249 42.6406 1566196400.7474
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6251 42.6406 1566196400.7473
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6253 42.6406 1566196400.7472
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6254 42.6406 1566196400.7471
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6256 42.6406 1566196400.7469
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6258 42.6406 1566196400.7468
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6259 42.6406 1566196400.7467
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6261 42.6406 1566196400.7466
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6264 42.6406 1566196400.7465
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6266 42.6406 1566196400.7465
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6267 42.6406 1566196400.7464
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6269 42.6406 1566196400.7464
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6271 42.6406 1566196400.7463
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6273 42.6406 1566196400.7462
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6274 42.6406 1566196400.7462
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6276 42.6406 1566196400.7461
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6278 42.6406 1566196400.7460
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6279 42.6406 1566196400.7460
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6281 42.6406 1566196400.7459
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6283 42.6406 1566196400.7458
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6285 42.6406 1566196400.7458
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6287 42.6406 1566196400.7457
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6289 42.6406 1566196400.7457
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6290 42.6406 1566196400.7456
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6292 42.6406 1566196400.7455
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6293 42.6406 1566196400.7455
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6294 42.6406 1566196400.7454
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6295 42.6406 1566196400.7453
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6296 42.6406 1566196400.7453
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6298 42.6406 1566196400.7452
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6299 42.6406 1566196400.7451
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6300 42.6406 1566196400.7451
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6301 42.6406 1566196400.7450
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6303 42.6406 1566196400.7450
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6304 42.6406 1566196400.7449
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6305 42.6406 1566196400.7448
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6306 42.6406 1566196400.7448
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6307 42.6406 1566196400.7447
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6309 42.6406 1566196400.7446
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6310 42.6406 1566196400.7446
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6311 42.6406 1566196400.7445
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6312 42.6406 1566196400.7444
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6313 42.6406 1566196400.7444
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6314 42.6406 1566196400.7443
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6316 42.6406 1566196400.7442
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6321 42.6406 1566196400.7442
FUNC __main__.recursive_flatten_like_tishka 41.0586 1566196400.6323 42.6406 1566196400.7441
