CMDLINE /home/niccolum/projects/github/intrst_algrms/env/bin/python3 funcs.py
MEM 1.539062 1566913514.6037
MEM 19.878906 1566913514.7040
MEM 32.996094 1566913514.8043
MEM 39.261719 1566913514.9046
MEM 39.261719 1566913515.0054
MEM 39.261719 1566913515.1063
MEM 39.261719 1566913515.2072
MEM 39.261719 1566913515.3081
MEM 39.261719 1566913515.4089
MEM 39.261719 1566913515.5098
MEM 39.441406 1566913515.6107
MEM 39.441406 1566913515.7114
MEM 39.441406 1566913515.8122
MEM 39.441406 1566913515.9130
MEM 39.441406 1566913516.0138
MEM 39.441406 1566913516.1147
MEM 39.441406 1566913516.2155
MEM 39.441406 1566913516.3163
MEM 39.441406 1566913516.4171
MEM 39.441406 1566913516.5179
MEM 39.441406 1566913516.6188
MEM 39.441406 1566913516.7195
MEM 39.441406 1566913516.8204
MEM 39.441406 1566913516.9212
MEM 39.441406 1566913517.0219
MEM 39.441406 1566913517.1227
MEM 39.441406 1566913517.2237
MEM 39.441406 1566913517.3245
MEM 39.441406 1566913517.4254
MEM 40.988281 1566913517.5262
MEM 40.988281 1566913517.6269
MEM 40.988281 1566913517.7277
MEM 40.988281 1566913517.8281
MEM 40.988281 1566913517.9284
MEM 40.988281 1566913518.0287
MEM 40.988281 1566913518.1290
MEM 40.988281 1566913518.2293
MEM 40.988281 1566913518.3299
MEM 40.988281 1566913518.4309
MEM 40.988281 1566913518.5316
MEM 40.988281 1566913518.6320
MEM 40.988281 1566913518.7330
MEM 40.988281 1566913518.8338
MEM 40.988281 1566913518.9346
MEM 40.988281 1566913519.0353
MEM 40.988281 1566913519.1361
MEM 40.988281 1566913519.2369
MEM 40.988281 1566913519.3373
MEM 40.988281 1566913519.4382
MEM 40.988281 1566913519.5390
MEM 42.019531 1566913519.6393
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5712 42.7930 1566913519.7203
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5715 42.7930 1566913519.7202
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5718 42.7930 1566913519.7202
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5721 42.7930 1566913519.7201
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5723 42.7930 1566913519.7200
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5726 42.7930 1566913519.7200
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5729 42.7930 1566913519.7199
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5732 42.7930 1566913519.7198
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5735 42.7930 1566913519.7198
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5738 42.7930 1566913519.7197
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5741 42.7930 1566913519.7196
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5745 42.7930 1566913519.7196
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5751 42.7930 1566913519.7195
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5755 42.7930 1566913519.7194
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5758 42.7930 1566913519.7193
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5760 42.7930 1566913519.7193
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5763 42.7930 1566913519.7192
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5766 42.7930 1566913519.7191
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5769 42.7930 1566913519.7191
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5771 42.7930 1566913519.7190
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5775 42.7930 1566913519.7189
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5778 42.7930 1566913519.7188
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5781 42.7930 1566913519.7188
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5783 42.7930 1566913519.7187
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5786 42.7930 1566913519.7186
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5789 42.7930 1566913519.7186
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5791 42.7930 1566913519.7185
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5794 42.7930 1566913519.7184
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5797 42.7930 1566913519.7184
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5800 42.7930 1566913519.7183
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5802 42.7930 1566913519.7182
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5805 42.7930 1566913519.7182
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5808 42.7930 1566913519.7181
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5811 42.7930 1566913519.7180
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5814 42.7930 1566913519.7180
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5817 42.7930 1566913519.7179
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5819 42.7930 1566913519.7178
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5822 42.7930 1566913519.7178
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5825 42.7930 1566913519.7177
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5827 42.7930 1566913519.7176
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5831 42.7930 1566913519.7176
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5834 42.7930 1566913519.7175
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5836 42.7930 1566913519.7174
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5839 42.7930 1566913519.7173
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5842 42.7930 1566913519.7172
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5846 42.7930 1566913519.7171
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5852 42.7930 1566913519.7171
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5856 42.7930 1566913519.7170
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5862 42.7930 1566913519.7169
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5868 42.7930 1566913519.7169
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5871 42.7930 1566913519.7168
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5874 42.7930 1566913519.7167
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5877 42.7930 1566913519.7167
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5879 42.7930 1566913519.7166
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5883 42.7930 1566913519.7165
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5885 42.7930 1566913519.7165
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5887 42.7930 1566913519.7164
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5889 42.7930 1566913519.7163
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5891 42.7930 1566913519.7163
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5892 42.7930 1566913519.7162
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5894 42.7930 1566913519.7161
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5896 42.7930 1566913519.7161
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5898 42.7930 1566913519.7160
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5899 42.7930 1566913519.7159
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5901 42.7930 1566913519.7159
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5903 42.7930 1566913519.7158
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5904 42.7930 1566913519.7157
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5906 42.7930 1566913519.7157
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5908 42.7930 1566913519.7156
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5909 42.7930 1566913519.7155
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5911 42.7930 1566913519.7154
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5913 42.7930 1566913519.7154
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5914 42.7930 1566913519.7153
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5916 42.7930 1566913519.7152
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5918 42.7930 1566913519.7151
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5919 42.7930 1566913519.7150
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5921 42.7930 1566913519.7150
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5923 42.7930 1566913519.7149
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5924 42.7930 1566913519.7148
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5926 42.7930 1566913519.7148
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5928 42.7930 1566913519.7147
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5929 42.7930 1566913519.7147
FUNC __main__.recursive_flatten_generator 40.9883 1566913519.5931 42.7930 1566913519.7146
